Wavelengths,Transmission
490.3817303,17.4510364
490.8318053,16.99674596
491.2818803,16.54888863
491.7319553,16.10744657
492.1820303,15.672402
492.6321054,15.24373714
493.0821804,14.82143423
493.5322554,14.40547553
493.9823304,13.99584332
494.4324054,13.59251988
494.8824804,13.19548754
495.3325554,12.80472861
495.7826304,12.42022545
496.2327055,12.04196042
496.6827805,11.6699159
497.1328555,11.30407429
497.5829305,10.94441801
498.0330055,10.5909295
498.4830805,10.2435912
498.9331555,9.902385587
499.3832305,9.567295151
499.8333056,9.238302395
500.2833806,0.1905824
500.7334556,0.189947512
501.1835306,0.189120568
501.6336056,0.188101808
502.0836806,0.188550824
502.5337556,0.19597639
502.9838306,0.203024874
503.4339057,0.209665951
503.8839807,0.215871116
504.3340557,0.200311848
504.7841307,0.178833663
505.2342057,0.159046602
505.6842807,0.140867599
506.1343557,0.116221206
506.5844307,0.078992436
507.0345058,0.049916507
507.4845808,0.028229904
507.9346558,0.013193175
508.3847308,0.010543951
508.8348058,0.009480426
509.2848808,0.008497603
509.7349558,0.007591538
510.1850308,0.012330472
510.6351059,0.030194414
511.0851809,0.054234899
511.5352559,0.083161893
511.9853309,0.115754987
512.4354059,0.152504228
512.8854809,0.229426427
513.3355559,0.33205928
513.7856309,0.465594988
514.235706,0.602001401
514.685781,0.730786929
515.135856,0.878974334
515.585931,1.048436448
516.036006,1.230328925
516.486081,1.297117544
516.936156,1.35977369
517.386231,1.417853363
517.8363061,1.470948473
518.2863811,1.369780944
518.7364561,1.173501236
519.1865311,0.971102242
519.6366061,0.768797657
520.0866811,0.570832841
520.5367561,0.378766813
520.9868311,0.215031325
521.4369062,0.090181032
521.8869812,0.015661176
522.3370562,0.041251075
522.7871312,0.142326828
523.2372062,0.315384595
523.6872812,0.57174492
524.1373562,0.964853939
524.5874312,1.61239689
525.0375063,2.469986002
525.4875813,3.563740216
525.9376563,4.92117818
526.3877313,5.99153044
526.8378063,7.112201763
527.2878813,8.374539789
527.7379563,9.789523497
528.1880313,10.95498907
528.6381064,11.612883
529.0881814,10.5841966
529.5382564,8.960699442
529.9883314,7.447540156
530.4384064,5.501595583
530.8884814,3.926575782
531.3385564,2.691471793
531.7886314,1.7495368
532.2387065,0.978851959
532.6887815,0.448930221
533.1388565,0.165499488
533.5889315,0.040010724
534.0390065,0.002524997
534.4890815,0.003983603
534.9391565,0.019271456
535.3892315,0.02548431
535.8393066,0.015700294
536.2893816,0.030333706
536.7394566,0.104392284
537.1895316,0.22856234
537.6396066,0.364612966
538.0896816,0.54586659
538.5397566,0.821141258
538.9898316,1.157223026
539.4399067,1.556405004
539.8899817,2.021021506
540.3400567,2.329569812
540.7901317,2.588629592
541.2402067,2.864708578
541.6902817,3.158317934
542.1403567,3.356216825
542.5904317,3.308895061
543.0405068,3.26082046
543.4905818,3.212012796
543.9406568,3.162492515
544.3907318,3.145964947
544.8408068,3.133984746
545.2908818,3.121445068
545.7409568,3.108347038
546.1910318,3.211967347
546.6411069,3.484422014
547.0911819,3.77117727
547.5412569,4.072617903
547.9913319,3.569190201
548.4414069,3.793486242
548.8914819,4.026525967
549.3415569,4.269814631
549.7916319,4.523659519
550.241707,4.807409144
550.691782,5.147438037
551.141857,5.505414021
551.591932,5.882004466
552.042007,6.250978025
552.492082,6.681857837
552.942157,7.133965819
553.392232,7.586934405
553.8423071,7.362179829
554.2923821,6.85254494
554.7424571,6.248198758
555.1925321,5.671500078
555.6426071,5.122495071
556.0926821,4.459000921
556.5427571,3.180593821
556.9928321,2.161425912
557.4429072,1.407250787
557.8929822,0.867962518
558.3430572,0.486896823
558.7931322,0.243557641
559.2432072,0.154825694
559.6932822,0.104197133
560.1433572,0.088313804
560.5934322,0.131168521
561.0435073,0.180466135
561.4935823,0.235320845
561.9436573,0.294879776
562.3937323,0.312823031
562.8438073,0.323901786
563.2938823,0.334322734
563.7439573,0.344045801
564.1940323,0.3431385
564.6441074,0.329185504
565.0941824,0.31554814
565.5442574,0.30256979
565.9943324,0.290073395
566.4444074,0.280930695
566.8944824,0.271851419
567.3445574,0.262800553
567.7946324,0.253784105
568.2447075,0.246283018
568.6947825,0.23928748
569.1448575,0.23186109
569.5949325,0.224343078
570.0450075,0.219721464
570.4950825,0.222671264
570.9451575,0.225421571
571.3952325,0.227969064
571.8453076,0.230310772
572.2953826,0.2359321
572.7454576,0.242782041
573.1955326,0.248477394
573.6456076,0.253809259
574.0956826,0.259067537
574.5457576,0.26504361
574.9958326,0.270603999
575.4459077,0.275737388
575.8959827,0.280434408
576.3460577,0.284680552
576.7961327,0.28847316
577.2462077,0.290089127
577.6962827,0.290848842
578.1463577,0.290286776
578.5964327,0.288962894
579.0465078,0.290944482
579.4965828,0.292614926
579.9466578,0.293971714
580.3967328,0.291742814
580.8468078,0.290249376
581.2968828,0.312765401
581.7469578,0.336880165
582.1970328,0.361403536
582.6471079,0.384412957
583.0971829,0.408378251
583.5472579,0.433322385
583.9973329,0.459268667
584.4474079,0.480773304
584.8974829,0.502742626
585.3475579,0.524951754
585.7976329,0.546446941
586.247708,0.567120245
586.697783,0.587052709
587.147858,0.607174718
587.597933,0.625770717
588.048008,0.644021718
588.498083,0.671985548
588.948158,0.700008413
589.398233,0.70757237
589.8483081,0.728891884
590.2983831,0.760284795
590.7484581,0.796749654
591.1985331,0.835591835
591.6486081,0.875549732
592.0986831,0.916800029
592.5487581,0.949690663
592.9988331,0.981792628
593.4489082,1.013739162
593.8989832,1.049004605
594.3490582,1.087315278
594.7991332,1.125011275
595.2492082,1.163116271
595.6992832,1.208268191
596.1493582,1.253475961
596.5994332,1.294673877
597.0495083,1.336550055
597.4995833,1.379097214
597.9496583,1.422307453
598.3997333,1.43240734
598.8498083,1.476134976
599.2998833,1.530642298
599.7499583,1.586598786
600.2000333,1.719938764
600.6501084,1.959997934
601.1001834,2.216448152
601.5502584,2.489416458
602.0003334,2.779021534
602.4504084,3.061392992
602.9004834,3.350678347
603.3505584,3.650858658
603.8006334,3.961664752
604.2507085,4.273880014
604.7007835,4.587111139
605.1508585,4.909665639
605.6009335,5.23961065
606.0510085,5.578837946
606.5010835,5.945495973
606.9511585,6.297318017
607.4012335,6.579176436
607.8513086,6.857244058
608.3013836,7.13463743
608.7514586,7.236786391
609.2015336,7.337192033
609.6516086,7.426977269
610.1016836,7.504924134
610.5517586,7.59627396
611.0018336,7.682273157
611.4519087,7.810972678
611.9019837,7.948426309
612.3520587,8.077813929
612.8021337,8.141248794
613.2522087,8.076238941
613.7022837,8.30329951
614.1523587,8.527589134
614.6024337,8.742228851
615.0525088,8.959840894
615.5025838,9.18042849
615.9526588,9.403994464
616.4027338,9.618021905
616.8528088,9.883552328
617.3028838,10.15406207
617.7529588,10.42960797
618.2030338,10.7009523
618.6531089,10.96540785
619.1031839,11.27559118
619.5532589,10.98278851
620.0033339,10.54882379
620.4534089,10.03746537
620.9034839,9.53512693
621.3535589,9.042114096
621.8036339,8.558732409
622.253709,9.475560099
622.703784,10.90720471
623.153859,12.42887575
623.603934,14.03854546
624.054009,15.7305995
624.504084,17.43719944
624.954159,17.35612545
625.404234,16.36029009
625.8543091,15.40259404
626.3043841,14.47548268
626.7544591,13.58267611
627.2045341,12.66215676
627.6546091,11.78313899
628.1046841,10.95739261
628.5547591,10.20469099
629.0048341,9.374712024
629.4549092,8.370971927
629.9049842,7.787435058
630.3550592,7.432423993
630.8051342,7.281248125
631.2552092,7.131622229
631.7052842,6.977783667
632.1553592,6.819874419
632.6054342,6.667357396
633.0555093,6.51644586
633.5055843,6.367151694
633.9556593,6.265136032
634.4057343,6.174746887
634.8558093,6.084405358
635.3058843,5.999156444
635.7559593,5.918068699
636.2060343,5.816051277
636.6561094,5.710850371
637.1061844,5.644203743
637.5562594,5.585935003
638.0063344,5.526467464
638.4564094,5.459728795
638.9064844,5.388724981
639.3565594,5.303117164
639.8066344,5.21739071
640.2567095,5.128721202
640.7067845,5.037970757
641.1568595,4.926591219
641.6069345,4.706910081
642.0570095,4.517648967
